location_id,shelter_id,shelter_name,address_1,city,county_parish,state,zip,shelter_status_code,assigned_geo_level,loc_id,tract_loc_id,county_loc_id,state_loc_id,latitude,longitude
nss_shelters-330226,330226,ELEMENTARY - ALOFAU VILLAGE,ALOFAU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27421966,-170.60347905
nss_shelters-330227,330227,ELEMENTARY -LAULII VILLAGE,LAULII VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.28819776,-170.65463385
nss_shelters-330210,330210,FAGAITUA HIGH SCHOOL,FAGAITUA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.26749162,-170.61421757
nss_shelters-330228,330228,FAGAITUA HIGH SCHOOL-UTUSIA VILLAGE,UTUSIA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27086473,-170.62111631
nss_shelters-334604,334604,Faga'itua ECE,Faga'itua ECE,PAGO PAGO,Western (District),AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.26749162,-170.61421757
nss_shelters-330229,330229,GURR RESIDE- MALOTA VILLAGE,MALOTA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.30416658,-170.81626518
nss_shelters-330202,330202,LDS -AUTO VILLAGE,AUTO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27714873,-170.62860462
nss_shelters-330232,330232,LDS -MAPUSAGA FOU VILLAGE,MAPUSAGA FOU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.32424259,-170.75489282
nss_shelters-330235,330235,LDS -VATIA VILLAGE,VATIA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.25173458,-170.67447881
nss_shelters-330236,330236,LDS HALL,FALENIU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.33009798,-170.74705946
nss_shelters-330237,330237,LDS HALL/AUTO,AVAIO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.28007519,-170.63333597
nss_shelters-330238,330238,LDS SHELTER,NUU'ULI TAI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.31022396,-170.70406228
nss_shelters-330233,330233,LDS- MESEPA VILLAGE,MESEPA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.25478844,-170.63238369
nss_shelters-330253,330253,LMS - FAGATOGO VILLAGE,FAGATOGO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.2886432,-170.72360136
nss_shelters-330239,330239,LMS -ALAO VILLAGE,ALAO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.26288895,-170.5658773
nss_shelters-330241,330241,LMS -AMANAVE VILLAGE,AMANAVE VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.32575629,-170.82922946
nss_shelters-330199,330199,LMS -AMAUA VILLAGE,AMAUA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27199388,-170.62420276
nss_shelters-330242,330242,LMS -AMOULI VILLAGE,AMOULI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27281539,-170.58428377
nss_shelters-330243,330243,LMS -AOA VILLAGE,AOA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.26040878,-170.58492316
nss_shelters-330208,330208,LMS -AUASI VILLAGE,AUASI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27193368,-170.57570644
nss_shelters-330249,330249,LMS -FAGALII VILLAGE,FAGALII VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.30719517,-170.82604236
nss_shelters-330252,330252,LMS -FAGASA VILLAGE,FAGASA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.28426006,-170.72045999
nss_shelters-330254,330254,LMS -FALENIU VILLAGE,FALENIU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.33009798,-170.74705946
nss_shelters-330259,330259,LMS -MASAUSI VILLAGE,MASAUSI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.2593175,-170.60522507
nss_shelters-330262,330262,LMS -ONENOA VILLAGE,ONENOA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.25122772,-170.58038676
nss_shelters-330264,330264,LMS -PAVAIAI VILLAGE,PAVAIAI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.33473215,-170.75108529
nss_shelters-330267,330267,LMS -SAILELE VILLAGE,SAILELE VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.25686197,-170.59809895
nss_shelters-330268,330268,LMS -TAFUNA MAAMAA VILLAGE,TAFUNA MAAMAA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.3248512,-170.73152811
nss_shelters-330269,330269,LMS -TULA VILLAGE,TULA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.2527184,-170.56620322
nss_shelters-330271,330271,LMS -UTUMEA VILLAGE,UTUMEA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27074676,-170.57210567
nss_shelters-330272,330272,LMS -VAILOA VILLAGE,VAILOA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.35493635,-170.7829912
nss_shelters-330204,330204,LMS -VATIA VILLAGE,VATIA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.25173458,-170.67447881
nss_shelters-330256,330256,LMS- ILIIILI UTA VILLAGE,ILIIILI UTA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.3473438,-170.74746641
nss_shelters-330275,330275,MANULELE JRH SHELTER- TAFUNA MAAMAA VILLAGE,TAFUNA MAAMAA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.3248512,-170.73152811
nss_shelters-330276,330276,METHODIST -	AGUGULU VILLAGE,AGUGULU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.33042074,-170.81952477
nss_shelters-330277,330277,METHODIST -ALOFAU VILLAGE,ALOFAU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27421966,-170.60347905
nss_shelters-330280,330280,METHODIST -FAILOLO VILLAGE,FAILOLO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.32839593,-170.82722876
nss_shelters-330281,330281,METHODIST -FUTIGA VILLAGE,FUTIGA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.34794639,-170.7585121
nss_shelters-330283,330283,METHODIST -NUU'ULI TAI VILLAGE,NUU'ULI TAI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.31022396,-170.70406228
nss_shelters-330285,330285,METHODIST -PAVAIAI VILLAGE,PAVAIAI  VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.33473215,-170.75108529
nss_shelters-330287,330287,PENTECOSTAL - NUU'ULI CENT VILLAGE,NUU'ULI CENT VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.31022396,-170.70406228
nss_shelters-334608,334608,Pava'ia'l Elementary School,Pava'ia'l Elementary School,PAGO PAGO,Western (District),AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.33473215,-170.75108529
nss_shelters-330288,330288,SAMOANA HIGH SCHOOL- UTULEI VILLAGE,UTULEI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.25988193,-170.61926356
nss_shelters-330290,330290,TALALELEI SHELTER- ILIILI TAI VILLAGE,ILIILI TAI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.3473438,-170.74746641
nss_shelters-334606,334606,Tafuna Elementary School,Tafuna Elementary School,PAGO PAGO,Western (District),AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.16726688,-169.65379734
nss_shelters-169248,169248,A.P. Giannini Middle School,3151 Ortega Street,San Francisco,San Francisco,CA,94122,CLOSED,state,USA-CA,,,USA-CA,37.75147288,-122.4972896
nss_shelters-169397,169397,Anderson Senior Center,828 S. MESA,SAN PEDRO,LOS ANGELES,CA,90731,CLOSED,state,USA-CA,,,USA-CA,33.73667451,-118.28571058
nss_shelters-169404,169404,Angels Gate Park,3601 S. GAFFEY ST.,SAN PEDRO,LOS ANGELES,CA,90731,CLOSED,state,USA-CA,,,USA-CA,33.71054921,-118.29285119
